pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,434,trial3,cheek,diff_bin5,0.3076832019920567,fear
pp401,adult,434,trial3,cheek,diff_bin6,0.5343907908781618,fear
pp401,adult,434,trial3,cheek,diff_bin7,0.9417888721774812,fear
pp401,adult,434,trial3,cheek,diff_bin8,0.7897702613126247,fear
pp401,adult,434,trial3,cheek,diff_bin9,0.28166537960525784,fear
pp401,adult,434,trial4,brow,diff_bin1,0.06530565392185816,fear
pp401,adult,434,trial4,brow,diff_bin10,-0.5196382153157042,fear
pp401,adult,434,trial4,brow,diff_bin2,-0.9752679583732536,fear
pp401,adult,434,trial4,brow,diff_bin3,-0.28370000943390117,fear
pp401,adult,434,trial4,brow,diff_bin4,-0.8985428527561699,fear
pp401,adult,434,trial4,brow,diff_bin5,0.22415724454259434,fear
pp401,adult,434,trial4,brow,diff_bin6,-0.5810735895196275,fear
pp401,adult,434,trial4,brow,diff_bin7,-0.6639656243575965,fear
pp401,adult,434,trial4,brow,diff_bin8,-1.1396697852927866,fear
pp401,adult,434,trial4,brow,diff_bin9,-0.499797715442994,fear
pp401,adult,434,trial4,cheek,diff_bin1,0.12333332497729861,fear
pp401,adult,434,trial4,cheek,diff_bin10,-0.22791397941408648,fear
pp401,adult,434,trial4,cheek,diff_bin2,0.1629029342950885,fear
pp401,adult,434,trial4,cheek,diff_bin3,-0.15486033077521266,fear
pp401,adult,434,trial4,cheek,diff_bin4,-0.19107885529305435,fear
pp401,adult,434,trial4,cheek,diff_bin5,-0.15869397178635358,fear
pp401,adult,434,trial4,cheek,diff_bin6,-0.3080183104720515,fear
pp401,adult,434,trial4,cheek,diff_bin7,-0.22755206225569202,fear
pp401,adult,434,trial4,cheek,diff_bin8,-0.26269823963755023,fear
pp401,adult,434,trial4,cheek,diff_bin9,-0.2669072021462853,fear
pp401,adult,434,trial5,brow,diff_bin1,-0.3942368993999772,fear
pp401,adult,434,trial5,brow,diff_bin10,-0.5504515961469553,fear
pp401,adult,434,trial5,brow,diff_bin2,0.4275383171927576,fear
pp401,adult,434,trial5,brow,diff_bin3,-0.7288034422695947,fear
pp401,adult,434,trial5,brow,diff_bin4,-0.4854861865959048,fear
pp401,adult,434,trial5,brow,diff_bin5,0.09497071000163437,fear
pp401,adult,434,trial5,brow,diff_bin6,-0.7223600644974282,fear
pp401,adult,434,trial5,brow,diff_bin7,-1.251737774927496,fear
pp401,adult,434,trial5,brow,diff_bin8,-0.42186048925490827,fear
pp401,adult,434,trial5,brow,diff_bin9,-0.19610834922415377,fear
pp401,adult,434,trial5,cheek,diff_bin1,-0.29618227895863397,fear
pp401,adult,434,trial5,cheek,diff_bin10,-0.2403800148698943,fear
