pp_no,emotion,trial,muscle,bin,zdiff
pp401,232,trial6,brow,diff_bin5,0.03077085028490037
pp401,232,trial6,brow,diff_bin6,-0.1652949683929027
pp401,232,trial6,cheek,diff_bin1,0.0328942483962929
pp401,232,trial6,cheek,diff_bin2,-0.024208236594826738
pp401,232,trial6,cheek,diff_bin3,-0.019007352985306925
pp401,232,trial6,cheek,diff_bin4,-0.061767195032647715
pp401,232,trial6,cheek,diff_bin5,0.05092308462001499
pp401,232,trial6,cheek,diff_bin6,0.5819627906982284
pp401,232,trial7,brow,diff_bin1,0.10736836426293156
pp401,232,trial7,brow,diff_bin2,-0.006485908318517336
pp401,232,trial7,brow,diff_bin3,-0.2657946494201583
pp401,232,trial7,brow,diff_bin4,0.27914924097435156
pp401,232,trial7,brow,diff_bin5,0.2734926783096774
pp401,232,trial7,brow,diff_bin6,-0.15736302149845358
pp401,232,trial7,cheek,diff_bin1,0.014878816511770698
pp401,232,trial7,cheek,diff_bin2,0.1217248042733235
pp401,232,trial7,cheek,diff_bin3,0.05967611811748008
pp401,232,trial7,cheek,diff_bin4,0.26828784908386405
pp401,232,trial7,cheek,diff_bin5,0.25826140336241865
pp401,232,trial7,cheek,diff_bin6,0.17048979028217176
pp401,232,trial8,brow,diff_bin1,-0.4363634055605765
pp401,232,trial8,brow,diff_bin2,-0.5499412295907442
pp401,232,trial8,brow,diff_bin3,-0.5486227826538653
pp401,232,trial8,brow,diff_bin4,-0.352727086161466
pp401,232,trial8,brow,diff_bin5,-0.20740020928032682
pp401,232,trial8,brow,diff_bin6,-0.17960649723999167
pp401,232,trial8,cheek,diff_bin1,-0.16996702105337977
pp401,232,trial8,cheek,diff_bin2,-0.16539614138625022
pp401,232,trial8,cheek,diff_bin3,-0.059716331135079376
pp401,232,trial8,cheek,diff_bin4,-0.0436847414521265
pp401,232,trial8,cheek,diff_bin5,-0.17992644507882624
pp401,232,trial8,cheek,diff_bin6,-0.18380029910756648
pp401,323,trial1,brow,diff_bin1,0.02524187925927901
pp401,323,trial1,brow,diff_bin2,0.07032425839126843
pp401,323,trial1,brow,diff_bin3,0.1719935294431747
pp401,323,trial1,brow,diff_bin4,0.08106322134487898
pp401,323,trial1,brow,diff_bin5,0.23083454031969097
pp401,323,trial1,brow,diff_bin6,0.32023374874935306
pp401,323,trial1,cheek,diff_bin1,-0.09738252428649871
pp401,323,trial1,cheek,diff_bin2,0.0439394238969226
pp401,323,trial1,cheek,diff_bin3,-0.14187152609061285
pp401,323,trial1,cheek,diff_bin4,-0.07183385377169257
pp401,323,trial1,cheek,diff_bin5,-0.148868591152905
pp401,323,trial1,cheek,diff_bin6,-0.00789515578867836
pp401,323,trial2,brow,diff_bin1,NA
pp401,323,trial2,brow,diff_bin2,-0.2834448261557957
pp401,323,trial2,brow,diff_bin3,-0.6917806016711072
pp401,323,trial2,brow,diff_bin4,-0.6824876772934282
pp401,323,trial2,brow,diff_bin5,0.27653361237376883
pp401,323,trial2,brow,diff_bin6,-0.45505558068181196
